City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Cherskiy,68.75,161.3,48.7,76,100,3.67,RU,1596672432
Rikitea,-23.12,-134.97,70.54,75,67,9.48,PF,1596672436
Yarensk,62.17,49.09,59.41,87,96,6.69,RU,1596672820
Punta Arenas,-53.15,-70.92,37.4,74,100,23.04,CL,1596672450
Flinders,-34.58,150.86,50.0,46,0,10.29,AU,1596672577
Vaini,-21.2,-175.2,75.2,64,20,6.93,TO,1596672820
La Ronge,55.1,-105.28,82.4,34,20,11.41,CA,1596672821
Dikson,73.51,80.55,46.38,94,40,19.33,RU,1596672821
Patharia,23.9,79.2,79.41,83,99,5.39,IN,1596672821
Batemans Bay,-35.72,150.18,55.0,55,0,1.01,AU,1596672822
Jamestown,42.1,-79.24,64.99,72,20,8.05,US,1596672822
Zlobin,45.29,14.65,70.0,64,40,21.92,HR,1596672822
Castro,-24.79,-50.01,54.1,83,0,2.48,BR,1596672822
Severo-Kuril'sk,50.68,156.12,52.7,86,100,12.88,RU,1596672823
Ushuaia,-54.8,-68.3,37.4,88,75,16.11,AR,1596672195
Csabrendek,47.01,17.29,68.0,93,97,4.7,HU,1596672823
Iqaluit,63.75,-68.51,57.2,87,90,9.17,CA,1596672558
Salamanca,40.83,-6.0,73.99,43,0,4.18,ES,1596672823
Bambous Virieux,-20.34,57.76,66.2,72,75,9.17,MU,1596672485
Nikolskoye,59.7,30.79,59.0,67,95,4.5,RU,1596672480
Iturama,-19.73,-50.2,68.74,36,0,6.67,BR,1596672824
Qaanaaq,77.48,-69.36,35.13,77,16,2.33,GL,1596672824
Barvinkove,48.91,37.02,63.91,74,0,7.96,UA,1596672825
Constitución,-35.33,-72.42,49.39,69,27,9.6,CL,1596672825
Tiksi,71.69,128.87,60.24,60,99,13.73,RU,1596672476
Kudahuvadhoo,2.67,72.89,82.11,79,100,12.41,MV,1596672825
Khatanga,71.97,102.5,60.62,71,38,11.99,RU,1596672209
Vágur,61.47,-6.81,51.89,89,27,18.34,FO,1596672546
East London,-33.02,27.91,59.02,83,99,12.55,ZA,1596672434
Avarua,-21.21,-159.78,77.0,88,3,13.87,CK,1596672456
Albany,42.6,-73.97,75.0,60,1,6.38,US,1596672206
Hermanus,-34.42,19.23,37.99,95,36,3.6,ZA,1596672209
Fairbanks,64.84,-147.72,73.0,43,1,3.36,US,1596672827
Mataura,-46.19,168.86,46.99,88,100,1.01,NZ,1596672433
Hisuā,24.83,85.42,80.98,83,77,15.14,IN,1596672828
Hobyo,5.35,48.53,76.62,77,40,23.64,SO,1596672828
Saskylakh,71.92,114.08,64.94,69,87,11.59,RU,1596672459
Katherine,-14.47,132.27,75.2,69,44,9.17,AU,1596672829
Aykhal,66.0,111.5,68.0,37,5,4.47,RU,1596672829
Manggar,-2.88,108.27,81.09,81,98,8.41,ID,1596672830
Cayenne,4.93,-52.33,77.0,100,20,2.24,GF,1596672477
Asău,46.43,26.4,62.6,82,0,2.24,RO,1596672830
Tautira,-17.73,-149.15,82.4,69,75,13.87,PF,1596672830
Lata,40.16,-8.33,66.99,63,0,2.66,PT,1596672831
Saint-Philippe,-21.36,55.77,62.6,63,75,6.93,RE,1596672434
Rocha,-34.48,-54.33,66.11,80,2,10.71,UY,1596672631
Longyearbyen,78.22,15.64,53.6,76,75,5.82,SJ,1596672504
Arkhangelsk,64.54,40.54,57.2,100,75,4.47,RU,1596672832
Santa Isabel Rio Negro,-0.41,-65.02,74.68,93,55,1.68,BR,1596672665
Hithadhoo,-0.6,73.08,82.74,69,100,11.54,MV,1596672479
Clarence Town,-32.58,151.78,54.0,57,20,19.46,AU,1596672832
Puerto Ayora,-0.74,-90.35,66.99,95,87,4.0,EC,1596672467
Mbuji-Mayi,-6.15,23.6,72.72,52,6,1.23,CD,1596672833
Tevaitoa,-16.78,-151.5,79.25,79,39,13.91,PF,1596672504
La Santisima Trinidad,-14.83,-64.9,78.17,39,0,3.09,BO,1596672833
Bredasdorp,-34.53,20.04,44.6,87,43,3.36,ZA,1596672452
Busselton,-33.65,115.33,45.0,86,0,8.23,AU,1596672200
Muroto-misakicho,33.28,134.15,84.2,70,20,3.36,JP,1596672835
Oranjestad,12.52,-70.03,84.2,74,20,21.92,AW,1596672686
Gramsh,40.87,20.18,67.48,71,2,5.03,AL,1596672836
Santa Rosa,14.31,121.11,84.0,83,77,10.6,PH,1596672508
Bilma,18.69,12.92,94.62,28,3,6.26,NE,1596672481
Airai,-8.93,125.41,63.97,79,13,1.54,TL,1596672498
Trairi,-3.28,-39.27,77.85,77,35,11.79,BR,1596672512
Zhigansk,66.77,123.37,70.56,45,38,0.45,RU,1596672251
São João da Barra,-21.64,-41.05,68.74,74,32,9.08,BR,1596672838
Bengkulu,-3.8,102.27,76.68,80,94,3.2,ID,1596672440
Westport,41.14,-73.36,80.01,49,0,1.01,US,1596672723
Guerrero Negro,27.98,-114.06,74.89,63,3,17.07,MX,1596672505
Mar del Plata,-38.0,-57.56,59.0,87,93,4.7,AR,1596672282
Assiniboia,49.63,-105.98,82.8,24,0,2.55,CA,1596672839
Hong Kong,22.29,114.16,82.0,88,99,8.01,HK,1596672430
Staryy Nadym,65.61,72.68,59.14,65,44,4.72,RU,1596672839
Tasiilaq,65.61,-37.64,44.6,81,100,5.82,GL,1596672840
Port Alfred,-33.59,26.89,56.82,90,100,10.78,ZA,1596672447
Yellowknife,62.46,-114.35,66.2,68,40,16.11,CA,1596672468
George Town,5.41,100.34,82.4,88,20,1.12,MY,1596672535
Sabang,5.89,95.32,83.16,72,100,3.56,ID,1596672841
Abatskiy,56.29,70.46,65.19,83,0,2.35,RU,1596672841
Vanimo,-2.67,141.3,77.68,89,99,7.54,PG,1596672842
Nador,35.17,-2.93,80.6,74,0,1.12,MA,1596672842
Baruun-Urt,46.68,113.28,68.65,53,34,2.01,MN,1596672543
Lebu,-37.62,-73.65,47.62,77,24,5.14,CL,1596672453
Pevek,69.7,170.31,34.99,96,100,5.46,RU,1596672449
Bethel,41.37,-73.41,77.0,57,20,3.36,US,1596672439
Cidreira,-30.18,-50.21,60.98,79,0,8.81,BR,1596672442
Lora del Río,37.66,-5.53,84.2,48,0,6.93,ES,1596672844
Manzanillo,20.34,-77.12,82.04,79,24,3.96,CU,1596672623
Kruisfontein,-34.0,24.73,51.01,91,44,4.0,ZA,1596672601
Cape Town,-33.93,18.42,51.01,81,75,2.24,ZA,1596672409
Chui,-33.7,-53.46,63.66,85,0,9.04,UY,1596672471
Bāsudebpur,21.14,86.74,80.38,87,84,4.27,IN,1596672845
Porto Walter,-8.27,-72.74,77.18,59,48,0.74,BR,1596672735
Songling,31.19,120.72,89.01,83,100,8.95,CN,1596672845
Provideniya,64.38,-173.3,55.4,66,75,11.18,RU,1596672214
Margate,51.38,1.39,66.0,74,24,4.0,GB,1596672846
Vao,-22.67,167.48,69.44,64,0,5.7,NC,1596672496
Chumikan,54.72,135.31,56.39,72,0,11.86,RU,1596672847
Faanui,-16.48,-151.75,78.39,82,12,14.54,PF,1596672464
Pauini,-7.71,-66.98,79.57,46,0,1.41,BR,1596672847
Takapau,-40.03,176.35,59.0,66,77,2.59,NZ,1596672616
Hobart,-42.88,147.33,46.99,70,75,13.87,AU,1596672437
Esso,55.93,158.7,60.48,47,39,7.58,RU,1596672725
Temba,-25.38,28.26,52.0,70,0,4.7,ZA,1596672848
Kavieng,-2.57,150.8,85.12,75,66,16.93,PG,1596672514
Cham,47.18,8.46,55.99,87,0,1.7,CH,1596672849
Butaritari,3.07,172.79,84.29,74,22,21.16,KI,1596672529
Inverbervie,56.84,-2.28,61.0,93,90,2.24,GB,1596672850
Hualmay,-11.1,-77.61,59.99,83,11,9.73,PE,1596672623
Lac du Bonnet,50.25,-96.06,82.0,77,48,1.99,CA,1596672850
Lagoa,39.05,-27.98,70.0,72,70,10.76,PT,1596672260
Ribeira Grande,38.52,-28.7,70.41,70,74,6.85,PT,1596672211
Tura,25.52,90.22,75.22,97,95,4.7,IN,1596672854
Lompoc,34.64,-120.46,66.99,68,7,18.34,US,1596672448
Lufilufi,-13.87,-171.6,82.17,74,17,7.81,WS,1596672854
Makkah al Mukarramah,21.43,39.83,85.14,63,44,11.23,SA,1596672635
Grand-Santi,4.25,-54.38,74.41,94,44,3.02,GF,1596672855
Pamanukan,-6.28,107.81,76.5,77,80,4.76,ID,1596672855
Charters Towers,-20.1,146.27,71.35,59,60,13.33,AU,1596672855
Osmeña,10.52,119.93,83.03,76,92,6.35,PH,1596672856
Xining,36.62,101.77,63.79,79,95,3.49,CN,1596672856
Picos,-7.08,-41.47,73.85,51,0,5.68,BR,1596672856
Honningsvåg,70.98,25.97,50.95,88,63,3.2,NO,1596672857
Gizo Government Station,-8.1,156.84,83.77,73,8,5.93,SB,1596672857
Malé,4.17,73.51,80.6,94,75,13.87,MV,1596672714
Souillac,-20.52,57.52,66.2,72,75,9.17,MU,1596672466
Berlevåg,70.86,29.09,49.35,88,98,2.93,NO,1596672566
Salinópolis,-0.61,-47.36,79.03,84,0,13.09,BR,1596672449
Codrington,-38.27,141.97,51.1,77,85,4.68,AU,1596672493
Hambantota,6.12,81.12,79.38,81,91,13.38,LK,1596672859
New Norfolk,-42.78,147.06,46.99,72,32,3.0,AU,1596672450
Kulhudhuffushi,6.62,73.07,82.33,80,85,21.56,MV,1596672859
Bekovo,52.47,43.71,63.25,97,2,7.43,RU,1596672859
Prieska,-29.66,22.75,45.7,57,2,9.78,ZA,1596672860
Saint Paul Harbor,57.79,-152.41,71.6,40,1,11.41,US,1596672438
Bako,5.78,36.57,61.38,84,24,3.49,ET,1596672861
Husavik,66.04,-17.34,53.6,71,75,9.17,IS,1596672861
Mumford,5.26,-0.76,73.11,85,33,14.54,GH,1596672615
São Filipe,14.9,-24.5,77.76,82,24,5.91,CV,1596672547
Kapaa,22.08,-159.32,80.6,78,90,18.34,US,1596672478
San Patricio,19.22,-104.7,86.0,79,75,13.87,MX,1596672440
Shingū,33.73,135.98,82.4,78,20,5.82,JP,1596672862
Sitka,57.05,-135.33,55.4,87,90,3.36,US,1596672451
Port Elizabeth,-33.92,25.57,51.8,93,90,9.17,ZA,1596672862
Sur,22.57,59.53,88.5,51,42,4.83,OM,1596672863
Wanaka,-44.7,169.15,47.34,80,100,4.07,NZ,1596672796
Fortuna,40.6,-124.16,60.01,95,96,3.0,US,1596672491
Krasnosel'kup,65.7,82.47,57.7,73,0,8.52,RU,1596672202
Lavrentiya,65.58,-171.0,45.52,79,100,9.75,RU,1596672725
Coyhaique,-45.58,-72.07,39.2,55,90,2.24,CL,1596672583
Norman Wells,65.28,-126.83,66.2,59,75,6.93,CA,1596672418
Mossendjo,-2.95,12.73,64.45,95,43,2.73,CG,1596672864
Bakchar,57.02,82.07,58.71,79,6,4.83,RU,1596672865
Paranaíba,-19.68,-51.19,68.31,33,0,3.11,BR,1596672865
Kahului,20.89,-156.47,87.8,58,40,31.09,US,1596672466
Fare,-16.7,-151.02,79.18,79,30,13.27,PF,1596672535
Diamantino,-14.41,-56.45,74.95,32,0,4.63,BR,1596672865
Kodinsk,58.69,99.18,60.78,81,100,3.09,RU,1596672866
Lüderitz,-26.65,15.16,51.8,57,1,21.92,NA,1596672529
Parambu,-6.21,-40.69,73.98,52,5,9.66,BR,1596672866
Galveston,29.37,-94.97,91.0,62,1,12.75,US,1596672598
Chigasaki,35.33,139.4,89.01,83,21,3.0,JP,1596672867
Hamilton,39.18,-84.53,73.4,49,1,6.93,US,1596672344
Namatanai,-3.67,152.43,85.19,68,74,10.74,PG,1596672585
Raymondville,26.48,-97.78,93.2,52,90,10.29,US,1596672868
Atambua,-9.11,124.89,75.83,66,8,2.13,ID,1596672868
Chernyshevskiy,63.01,112.47,65.01,64,64,5.3,RU,1596672868
Kaitangata,-46.28,169.85,48.99,72,97,4.76,NZ,1596672494
Arraial do Cabo,-22.97,-42.03,69.6,74,0,14.81,BR,1596672482
Esperance,-33.87,121.9,51.8,81,90,9.17,AU,1596672497
Luganville,-15.53,167.17,78.8,78,40,8.05,VU,1596672869
Yei,4.09,30.68,64.18,95,46,2.01,SS,1596672870
Hilo,19.73,-155.09,82.4,61,75,9.17,US,1596672211
Port Macquarie,-31.43,152.92,55.0,48,0,3.44,AU,1596672347
Beringovskiy,63.05,179.32,48.58,72,100,17.47,RU,1596672612
San Andrés,12.58,-81.7,82.4,78,75,4.7,CO,1596672321
Atuona,-9.8,-139.03,79.23,71,6,16.8,PF,1596672871
Mt. Pleasant,32.79,-79.86,82.99,83,1,6.24,US,1596672871
Lázaro Cárdenas,17.96,-102.2,85.41,75,64,6.89,MX,1596672444
Mayor Pablo Lagerenza,-19.93,-60.77,78.84,32,0,6.71,PY,1596672872
Kambia,9.12,-12.92,71.33,88,24,1.83,SL,1596672872
Sokoni,-6.43,39.55,75.92,80,0,11.52,TZ,1596672872
Faya,18.39,42.45,66.2,93,40,10.29,SA,1596672461
Adrar,20.5,-10.07,96.8,25,30,14.79,MR,1596672535
Qandala,11.47,49.87,89.19,48,99,8.01,SO,1596672873
Oddur,4.12,43.89,70.7,78,68,16.44,SO,1596672873
Iskateley,67.68,53.15,60.85,92,100,12.26,RU,1596672874
Harda,22.33,77.1,78.49,87,93,2.62,IN,1596672874
Ōdachō-ōda,35.18,132.5,87.8,66,37,11.41,JP,1596672874
Graulhet,43.77,1.99,64.4,52,0,8.05,FR,1596672874
Alta Floresta,-9.88,-56.09,76.93,37,0,4.18,BR,1596672874
Odesskoye,54.21,72.97,63.1,77,0,6.4,RU,1596672875
Impfondo,1.64,18.07,73.0,81,100,0.45,CG,1596672875
Yumen,40.28,97.2,73.78,39,8,10.98,CN,1596672546
Barrow,71.29,-156.79,46.4,75,75,10.29,US,1596672203
Padang,-0.95,100.35,78.44,72,100,3.49,ID,1596672472
Nosy Varika,-20.58,48.53,64.49,89,19,6.11,MG,1596672876
Yar-Sale,66.83,70.83,57.94,64,18,9.48,RU,1596672877
Pacific Grove,36.62,-121.92,71.6,56,40,9.17,US,1596672196
College,64.86,-147.8,73.0,49,40,2.59,US,1596672521
Rabat,33.99,-6.84,72.0,94,75,9.17,MA,1596672633
Santa Fe,-31.63,-60.7,78.01,50,0,4.0,AR,1596672734
Aksu,41.12,80.26,78.21,29,84,10.09,CN,1596672878
Upernavik,72.79,-56.15,40.89,67,100,0.51,GL,1596672463
Jalu,29.03,21.55,84.99,23,0,7.7,LY,1596672879
Santa Cruz,30.42,-9.6,71.6,78,75,5.82,MA,1596672879
Thompson,55.74,-97.86,84.2,32,40,9.17,CA,1596672201
Beira,-19.84,34.84,68.04,88,16,2.86,MZ,1596672644
Peniche,39.36,-9.38,66.0,90,0,8.01,PT,1596672880
Necochea,-38.55,-58.74,52.0,99,63,1.99,AR,1596672623
Ponta do Sol,32.67,-17.1,71.6,73,40,9.17,PT,1596672218
Beloha,-25.17,45.05,60.3,92,1,3.94,MG,1596672602
Saint George,37.1,-113.58,100.99,8,1,16.11,US,1596672466
Zhuanghe,39.7,122.99,77.4,79,72,6.98,CN,1596672881
Bluff,-46.6,168.33,46.99,88,100,1.01,NZ,1596672446
Blyth,55.13,-1.51,63.0,82,40,2.24,GB,1596672882
Iranshahr,27.2,60.68,93.2,16,51,11.41,IR,1596672882
Cabo San Lucas,22.89,-109.91,91.4,43,5,11.41,MX,1596672323
Mlonggo,-6.53,110.7,77.0,73,20,8.05,ID,1596672882
Surgut,61.25,73.42,62.6,100,18,4.47,RU,1596672883
Lesozavodsk,45.48,133.42,68.81,95,100,3.29,RU,1596672883
Tuktoyaktuk,69.45,-133.04,50.0,81,75,8.05,CA,1596672533
Sinnamary,5.38,-52.95,78.91,87,37,10.07,GF,1596672150
Mazamet,43.49,2.37,64.4,52,0,8.05,FR,1596672884
Temple,31.1,-97.34,100.4,29,1,12.75,US,1596672884
Thunder Bay,48.4,-89.32,77.0,44,20,12.75,CA,1596672791
Glens Falls,43.31,-73.64,75.2,38,1,9.17,US,1596672636
San Miguel de Cozumel,20.51,-86.95,84.2,83,75,4.7,MX,1596672745
Salalah,17.02,54.09,78.8,88,40,6.93,OM,1596672612
Varhaug,58.61,5.65,59.0,99,100,1.99,NO,1596672886
Kui Buri,12.08,99.85,78.8,83,20,5.82,TH,1596672605
Bathsheba,13.22,-59.52,82.4,74,40,13.87,BB,1596672888
Kolomyia,48.53,25.04,60.24,89,0,2.8,UA,1596672888
Ballitoville,-29.54,31.21,60.8,87,31,10.29,ZA,1596672888
Petropavlovsk-Kamchatskiy,53.05,158.65,57.2,100,90,6.71,RU,1596672889
Molepolole,-24.41,25.5,48.2,42,0,2.24,BW,1596672889
Aranos,-24.13,19.12,45.61,55,0,10.8,NA,1596672889
Mayuge,0.46,33.48,63.84,80,42,3.85,UG,1596672889
Viedma,-40.81,-63.0,55.0,37,0,8.01,AR,1596672636
Krasnoarmeysk,51.02,45.7,73.0,69,1,7.0,RU,1596672890
Aquiraz,-3.9,-38.39,78.8,78,44,6.93,BR,1596672890
Chokurdakh,70.63,147.92,66.34,38,49,10.0,RU,1596672481
Meulaboh,4.14,96.13,77.14,86,100,3.83,ID,1596672505
Ngunguru,-35.62,174.5,64.0,3,100,10.0,NZ,1596672891
Solnechnyy,50.72,136.63,49.19,89,100,9.01,RU,1596672891
Broken Hill,-31.95,141.43,46.4,42,90,17.22,AU,1596672892
Natá,8.33,-80.52,73.99,87,100,12.82,PA,1596672892
Fort-Shevchenko,44.51,50.26,71.96,63,27,5.91,KZ,1596672892
Saint Anthony,45.02,-93.22,73.99,53,40,10.29,US,1596672646
Portland,45.52,-122.68,88.0,39,20,6.93,US,1596672326
Tuatapere,-46.13,167.68,46.99,88,100,1.01,NZ,1596672493
Pouembout,-21.13,164.9,76.28,51,0,2.39,NC,1596672894
Touros,-5.2,-35.46,73.4,73,43,9.17,BR,1596672227
Pisco,-13.7,-76.22,62.6,77,75,8.05,PE,1596672437
Manono,-7.3,27.42,72.54,42,45,2.04,CD,1596672894
Kavaratti,10.57,72.64,82.76,79,97,30.49,IN,1596672491
Ancud,-41.87,-73.82,44.01,87,90,4.7,CL,1596672537
San Cristobal,7.77,-72.22,86.0,45,40,23.04,VE,1596672474
Bac Lieu,9.29,105.72,76.98,85,100,10.85,VN,1596672569
Bisert',56.86,59.05,58.75,96,45,5.01,RU,1596672896
Pedasí,7.53,-80.03,78.55,86,100,9.64,PA,1596672896
Tsaratanana,-16.78,47.65,60.48,78,0,6.15,MG,1596672896
Kasongo-Lunda,-6.47,16.82,72.61,48,19,2.73,CD,1596672897
Sobolevo,54.43,31.9,63.18,97,100,5.59,RU,1596672593
Qaqortoq,60.72,-46.03,50.0,66,35,5.82,GL,1596672519
Almaty,43.25,76.95,64.4,59,20,2.24,KZ,1596672759
Wuchi,29.38,103.02,67.3,95,100,1.12,CN,1596672898
Sussex,41.18,-74.67,78.8,50,0,4.7,US,1596672898
Terme,41.21,36.97,60.8,87,0,3.36,TR,1596672898
Chunskiy,56.08,99.63,58.73,94,100,3.76,RU,1596672899
Ilhabela,-23.78,-45.36,66.51,81,1,9.24,BR,1596672899
Merauke,-8.47,140.33,80.33,77,72,10.36,ID,1596672899
Araouane,18.9,-3.53,94.12,41,50,13.76,ML,1596672899
Datong,40.09,113.29,69.53,63,97,5.84,CN,1596672900
Mahébourg,-20.41,57.7,66.2,72,75,9.17,MU,1596672452
Mount Gambier,-37.83,140.77,44.6,100,40,1.12,AU,1596672900
Banda Aceh,5.56,95.32,80.55,71,100,3.2,ID,1596672900
Doka,13.52,35.77,67.86,90,99,3.8,SD,1596672901
Poum,-20.23,164.02,70.45,70,0,4.43,NC,1596672548
Río Gallegos,-51.62,-69.22,33.8,86,100,11.41,AR,1596672901
Pomichna,48.24,31.42,65.88,54,0,7.92,UA,1596672902
Assiut,27.18,31.18,84.2,45,0,9.17,EG,1596672450
Pangnirtung,66.15,-65.71,49.19,83,100,3.42,CA,1596672536
Dunedin,-45.87,170.5,46.99,84,90,5.99,NZ,1596672881
Hervey Bay,-25.3,152.85,66.2,82,0,5.14,AU,1596672902
