City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Torbay,47.67,-52.73,59.0,72,40,9.17,CA,1596672315
Aligoodarz,33.4,49.69,54.12,52,0,2.39,IR,1596672903
Kota Kinabalu,5.97,116.07,82.0,78,20,10.29,MY,1596672901
Kigorobya,1.62,31.31,65.7,94,15,6.06,UG,1596672903
Vestmannaeyjar,63.44,-20.27,51.58,85,100,12.1,IS,1596672497
Tual,-5.67,132.75,78.17,86,93,13.35,ID,1596672382
Nouadhibou,20.93,-17.03,71.6,83,3,10.29,MR,1596672904
Sorong,-0.88,131.25,79.75,85,100,6.64,ID,1596672905
Edd,13.93,41.69,84.31,70,100,24.11,ER,1596672445
Deshnok,27.8,73.34,90.91,55,20,13.09,IN,1596672905
Alofi,-19.06,-169.92,78.8,88,75,6.93,NU,1596672243
Council Bluffs,41.26,-95.86,77.0,57,75,16.11,US,1596672771
Ilulissat,69.22,-51.1,41.0,86,97,1.12,GL,1596672566
Hachinohe,40.5,141.5,77.0,83,75,1.12,JP,1596672907
Klaksvík,62.23,-6.59,50.0,100,27,13.87,FO,1596672545
Saint-Joseph,-21.37,55.62,62.6,63,40,6.93,RE,1596672907
Kazachinskoye,57.7,93.28,57.67,90,91,1.36,RU,1596672514
Leningradskiy,69.38,178.42,38.05,86,100,12.8,RU,1596672908
Tamandaré,-8.76,-35.1,73.85,76,41,12.62,BR,1596672609
Pangkalanbuun,-2.68,111.62,74.98,94,100,2.06,ID,1596672874
Baiyin,36.56,104.21,75.0,88,75,2.24,CN,1596672909
Ozernovskiy,51.5,156.52,56.16,82,89,5.84,RU,1596672725
Laas,46.62,10.7,55.4,82,5,6.93,IT,1596672547
Waingapu,-9.66,120.26,75.25,66,18,5.86,ID,1596672557
Sri Aman,1.24,111.46,73.4,94,100,2.24,MY,1596672910
Vredendal,-31.67,18.5,45.18,71,0,9.6,ZA,1596672910
Zaysan,47.47,84.87,67.86,47,0,4.23,KZ,1596672910
Torres,-29.34,-49.73,60.35,84,0,3.87,BR,1596672911
Antsirabe,-19.85,47.03,51.75,70,0,2.71,MG,1596672911
San Angelo,31.46,-100.44,102.2,18,1,13.87,US,1596672541
Te Anau,-45.42,167.72,48.81,89,100,2.3,NZ,1596672461
Road Town,18.42,-64.62,82.99,84,4,1.99,VG,1596672717
Muros,42.78,-9.06,66.99,84,0,1.99,ES,1596672602
Miandrivazo,-19.52,45.47,66.38,80,0,1.36,MG,1596672912
Gitega Province,-3.5,29.95,59.25,63,20,3.67,BI,1596672912
Magadan,59.57,150.8,62.96,54,4,4.21,RU,1596672594
Russell,32.35,-85.2,89.6,49,20,2.64,US,1596672629
Xai-Xai,-25.05,33.64,59.88,90,0,3.78,MZ,1596672617
Chapais,49.78,-74.85,57.2,93,90,14.99,CA,1596672914
Carnarvon,-24.87,113.63,50.0,87,0,6.93,AU,1596672448
Kenitra,34.26,-6.58,71.6,94,75,9.17,MA,1596672914
Diveyevo,55.04,43.24,59.0,87,39,5.88,RU,1596672914
Songea,-10.68,35.65,60.8,82,5,1.12,TZ,1596672915
Palmer,42.16,-72.33,82.4,45,20,9.17,US,1596672458
Port Augusta,-32.5,137.77,50.0,61,90,13.87,AU,1596672915
Kieta,-6.22,155.63,84.36,69,91,4.03,PG,1596672476
Luanda,-8.84,13.23,69.8,94,75,6.93,AO,1596672916
Kencong,-8.28,113.37,74.01,84,95,3.15,ID,1596672916
Vardø,70.37,31.11,50.2,86,99,12.5,NO,1596672917
Prince Rupert,54.32,-130.32,59.0,82,75,6.93,CA,1596672917
Turbat,26.0,63.04,87.64,61,18,0.94,PK,1596672917
Fort Nelson,58.81,-122.7,75.2,44,75,4.7,CA,1596672917
Vila Franca do Campo,37.72,-25.43,71.6,83,40,6.93,PT,1596672506
Hasaki,35.73,140.83,84.99,79,75,5.82,JP,1596672544
Belyy Yar,53.6,91.39,59.0,77,24,4.47,RU,1596672918
Shangqiu,34.45,115.65,84.0,82,99,6.02,CN,1596672918
Bodden Town,19.28,-81.25,82.4,94,75,13.02,KY,1596672919
Kibondo,-3.59,30.72,62.24,61,45,4.16,TZ,1596672919
Zimovniki,47.15,42.46,71.65,69,0,6.8,RU,1596672772
Khani,41.96,42.96,68.0,94,90,2.24,GE,1596672919
Barcelos,41.54,-8.62,70.0,93,21,3.36,PT,1596672920
Yarmouth,41.71,-70.23,77.0,81,0,11.59,US,1596672920
Kupang,-10.17,123.58,77.0,78,20,4.7,ID,1596672526
Nabire,-3.37,135.48,80.76,80,99,1.36,ID,1596672920
Isangel,-19.55,169.27,77.0,57,1,10.29,VU,1596672507
Udachny,66.42,112.4,68.0,37,0,4.47,RU,1596672921
Buala,-8.14,159.59,84.52,73,66,11.34,SB,1596672921
Naze,28.37,129.48,87.8,74,40,6.93,JP,1596672604
Cheţani,46.47,24.03,66.2,72,5,3.36,RO,1596672922
Marabá,-5.37,-49.12,75.2,64,0,2.28,BR,1596672869
Katobu,-4.94,122.53,77.76,72,94,2.06,ID,1596672435
Yerbogachën,61.28,108.01,65.28,65,40,7.92,RU,1596672724
Itarema,-2.92,-39.92,77.65,75,5,14.58,BR,1596672923
Aklavik,68.22,-135.01,51.8,87,90,4.7,CA,1596672233
Mahibadhoo,3.78,72.97,82.38,80,100,15.19,MV,1596672923
Geraldton,-28.77,114.6,50.0,87,0,8.05,AU,1596672510
Nome,64.5,-165.41,57.2,50,75,9.17,US,1596672468
Katsuura,35.13,140.3,84.99,79,2,9.51,JP,1596672516
Pinotepa Nacional,16.32,-98.02,83.37,73,82,3.56,MX,1596672924
Eston,51.15,-108.75,86.0,22,5,10.29,CA,1596672925
Tobermory,45.25,-81.67,64.99,59,0,5.01,CA,1596672925
Ballina,-28.87,153.57,60.8,59,0,6.93,AU,1596672552
Moose Factory,51.26,-80.61,62.6,72,40,6.93,CA,1596672926
Saint-Augustin,51.23,-58.65,62.11,71,90,9.66,CA,1596672580
Miguel Auza,24.29,-103.45,77.22,38,74,9.1,MX,1596672926
Kiryat Gat,31.61,34.76,75.0,55,0,5.21,IL,1596672424
Tilichiki,60.47,166.1,57.87,53,71,15.52,RU,1596672549
Malakal,9.53,31.66,66.27,95,82,2.98,SS,1596672927
Izumo,35.37,132.77,87.8,66,20,11.41,JP,1596672927
Brownsville,25.9,-97.5,89.6,62,1,12.75,US,1596672765
Pryazha,61.69,33.62,57.2,93,98,6.71,RU,1596672928
Isla Vista,34.41,-119.86,73.99,72,1,6.93,US,1596672928
Payakumbuh,-0.22,100.63,71.98,86,100,1.61,ID,1596672928
Gravdal,68.12,13.5,55.31,76,0,9.15,NO,1596672928
Taltal,-25.4,-70.48,58.33,73,22,3.42,CL,1596672929
Kabinda,-6.13,24.48,71.87,47,61,1.97,CD,1596672929
Morro Bay,35.37,-120.85,72.0,84,12,8.99,US,1596672757
Kutum,14.2,24.67,68.61,91,100,11.01,SD,1596672929
Mananara,-16.17,49.77,62.64,89,15,4.52,MG,1596672930
Biak,-0.91,122.88,77.95,83,74,4.81,ID,1596672559
Shaoyang,27.23,111.45,79.14,83,30,3.42,CN,1596672930
Chamba,32.57,76.13,75.33,58,89,6.93,IN,1596672907
Puerto Madryn,-42.77,-65.04,50.81,46,13,31.41,AR,1596672931
Mogadishu,2.04,45.34,76.06,84,90,16.11,SO,1596672931
Nanortalik,60.14,-45.24,42.94,89,47,8.08,GL,1596672562
Port Hardy,50.7,-127.42,57.2,93,90,12.75,CA,1596672931
Yenagoa,4.92,6.26,72.9,84,38,4.92,NG,1596672932
Abéché,13.83,20.83,73.27,91,99,9.13,TD,1596672932
Hofn,64.25,-15.21,51.67,87,96,3.74,IS,1596672523
Conde,-7.26,-34.91,73.4,88,23,5.82,BR,1596672934
Erdenet,49.03,104.08,61.11,90,71,3.98,MN,1596672934
Aswān,24.09,32.91,91.27,27,17,9.6,EG,1596672639
Clyde River,70.47,-68.59,41.0,75,75,12.75,CA,1596672263
Nizwá,22.93,57.53,89.8,32,1,2.08,OM,1596672935
Olafsvik,64.89,-23.71,49.78,87,100,12.71,IS,1596672484
Tripoli,32.88,13.19,77.02,65,24,5.23,LY,1596672660
Grand Gaube,-20.01,57.66,66.2,72,75,9.17,MU,1596672598
Vila Velha,-20.33,-40.29,68.0,93,67,2.24,BR,1596672487
Ust-Kuyga,70.02,135.6,65.05,53,100,8.79,RU,1596672936
Görele,41.03,39.0,71.6,73,40,4.7,TR,1596672936
Bansang,13.43,-14.65,74.82,92,94,5.5,GM,1596672937
Port-Gentil,-0.72,8.78,75.2,88,20,9.15,GA,1596672937
Dingle,11.0,122.67,80.33,84,100,3.62,PH,1596672596
Murygino,58.74,49.46,56.55,92,0,2.08,RU,1596672937
Chanika,-5.42,38.02,66.07,91,79,5.44,TZ,1596672938
Lexington,37.99,-84.48,77.0,60,1,8.05,US,1596672939
Ulagan,50.63,87.96,50.41,79,17,0.34,RU,1596672941
Macklin,52.33,-109.93,81.97,35,0,9.37,CA,1596672941
Swansea,51.62,-3.94,64.0,97,99,7.54,GB,1596672795
Simões,-7.6,-40.82,72.99,52,1,12.59,BR,1596672942
Evensk,61.95,159.23,62.76,51,87,4.59,RU,1596672560
Misratah,32.38,15.09,78.12,72,0,6.17,LY,1596672943
Sundarnagar,31.53,76.88,77.7,64,85,3.87,IN,1596672907
Moïssala,8.34,17.77,70.95,96,100,4.23,TD,1596672943
Moree,-29.47,149.85,48.2,42,40,10.29,AU,1596672349
Altay,47.87,88.12,63.84,56,2,2.24,CN,1596672944
Shirokiy,49.76,129.52,58.77,93,100,9.66,RU,1596672944
Tete,-16.16,33.59,75.2,47,40,3.96,MZ,1596672944
Narsaq,60.92,-46.05,50.0,66,43,5.82,GL,1596672210
Brae,60.4,-1.35,55.4,100,73,6.93,GB,1596672945
Wau,7.7,28.0,69.33,95,93,4.14,SS,1596672945
Mehamn,71.04,27.85,48.09,89,82,1.3,NO,1596672580
Kawalu,-7.38,108.21,70.99,86,98,0.92,ID,1596672945
Yulara,-25.24,130.99,48.2,76,40,12.75,AU,1596672592
Norrtälje,59.76,18.7,64.99,77,97,5.99,SE,1596672946
Mercedes,-34.65,-59.43,70.0,82,92,4.0,AR,1596672946
Mossamedes,-15.2,12.15,61.59,84,33,7.52,AO,1596672451
Puerto Barrios,15.72,-88.6,86.0,70,75,6.93,GT,1596672947
Tolaga Bay,-38.37,178.3,59.83,59,84,5.37,NZ,1596672556
Corsicana,32.1,-96.47,89.6,59,20,8.05,US,1596672947
Cooma,-36.23,149.13,33.8,69,0,10.29,AU,1596672948
Kumano,34.34,132.59,84.2,78,75,5.82,JP,1596672948
Porto Nacional,-10.71,-48.42,78.8,47,85,5.82,BR,1596672471
Seoul,37.57,126.98,77.0,100,90,20.02,KR,1596672199
Yugo-Kamskiy,57.71,55.59,60.8,100,20,4.47,RU,1596672949
Khuzdar,27.74,66.64,84.45,40,0,4.81,PK,1596672949
Kuragino,53.9,92.67,55.49,90,5,1.07,RU,1596672949
Mahon,39.89,4.27,71.6,68,0,2.53,ES,1596672950
Caruray,10.31,119.01,83.39,71,65,4.47,PH,1596672950
Avera,33.19,-82.53,82.4,74,75,16.11,US,1596672565
Lowestoft,52.48,1.75,66.99,74,54,12.3,GB,1596672950
Maamba,-17.37,27.15,62.06,48,0,2.42,ZM,1596672785
Zanjān,36.67,48.48,58.78,75,82,7.65,IR,1596672951
Maceió,-9.67,-35.74,71.6,88,75,4.7,BR,1596672951
Witu,-2.39,40.44,73.44,86,2,8.05,KE,1596672951
Chute-aux-Outardes,49.12,-68.4,66.2,72,40,21.92,CA,1596672952
Shimanovsk,52.0,127.7,54.54,87,100,7.87,RU,1596672952
São Gabriel,-30.34,-54.32,63.3,84,0,7.2,BR,1596672920
Smithers,54.78,-127.17,60.8,82,90,8.05,CA,1596672439
Matagami,49.75,-77.63,57.2,93,90,11.43,CA,1596672953
Mashhad,36.3,59.61,71.6,37,0,6.93,IR,1596672654
Tabuk,17.42,121.44,80.83,75,93,3.29,PH,1596672953
Haines Junction,60.75,-137.51,63.61,41,54,6.11,CA,1596672437
Hokitika,-42.72,170.97,55.99,72,91,5.88,NZ,1596672954
Monmouth,40.3,-74.17,82.0,58,1,9.42,US,1596672954
Kathmandu,27.72,85.32,71.6,100,75,2.24,NP,1596672372
Krasnyy Kholm,58.06,37.12,58.8,97,41,3.09,RU,1596672955
Lukovetskiy,64.3,41.92,57.2,93,40,4.47,RU,1596672955
Birjand,32.87,59.22,69.8,30,0,4.7,IR,1596672955
Cukai,4.25,103.42,77.0,100,40,2.82,MY,1596672955
Sibolga,1.74,98.78,77.32,72,100,3.06,ID,1596672426
Severomuysk,56.15,113.43,54.27,89,100,4.0,RU,1596672724
Korla,41.76,86.15,82.13,21,68,12.73,CN,1596672956
Acapulco de Juárez,16.86,-99.89,86.0,79,90,4.7,MX,1596672570
Virginia Beach,36.85,-75.98,82.99,74,75,5.82,US,1596672955
Matara,5.95,80.54,77.05,89,83,7.16,LK,1596672466
Khasan,42.43,130.64,68.92,97,100,5.01,RU,1596672539
Ouallam,14.32,2.09,84.85,59,6,13.78,NE,1596672499
Iralaya,15.0,-83.23,84.2,79,75,6.93,HN,1596672958
Pittsburg,38.03,-121.88,71.01,60,1,24.16,US,1596672885
Carutapera,-1.2,-46.02,76.68,85,7,5.88,BR,1596672959
Andenes,69.31,16.12,50.0,93,0,1.12,NO,1596672959
Winnemucca,40.97,-117.74,93.2,9,1,11.41,US,1596672602
Sisimiut,66.94,-53.67,45.86,75,25,6.85,GL,1596672960
Ondjiva,-17.07,15.73,56.75,33,0,3.02,AO,1596672666
Mogilno,52.66,17.96,57.0,93,43,1.12,PL,1596672960
Gharo,24.74,67.59,87.8,79,40,4.7,PK,1596672960
Suntar,62.14,117.63,69.03,54,5,3.83,RU,1596672532
St. George's,12.06,-61.75,82.4,78,20,11.41,GD,1596672961
São Félix do Xingu,-6.64,-51.99,75.29,46,1,2.46,BR,1596672961
Great Yarmouth,52.61,1.73,66.0,74,59,12.1,GB,1596672961
Shelburne,44.08,-80.2,68.0,52,20,10.29,CA,1596672962
Soyo,-6.13,12.37,71.67,90,0,7.99,AO,1596672962
Cairns,-16.92,145.77,75.99,69,90,9.17,AU,1596672884
Iquique,-20.22,-70.14,60.8,67,90,9.17,CL,1596672963
Port Lincoln,-34.73,135.87,50.94,65,100,20.8,AU,1596672614
Saint-François,46.42,3.91,57.2,67,0,1.12,FR,1596672963
Malabo,3.75,8.78,75.2,100,20,9.17,GQ,1596672707
Khabary,53.63,79.53,61.61,76,0,6.15,RU,1596672964
Altona,53.55,9.93,68.0,60,0,2.24,DE,1596672964
Haizhou,34.58,119.13,81.03,93,100,3.24,CN,1596672964
Maragogi,-9.01,-35.22,73.54,76,40,13.76,BR,1596672964
Quatre Cocos,-20.21,57.76,66.2,72,75,9.17,MU,1596672500
Kushālgarh,23.2,74.45,76.75,94,100,7.38,IN,1596672966
Havøysund,71.0,24.66,48.2,100,54,4.7,NO,1596672625
Sagaing,21.88,95.98,80.6,83,90,5.82,MM,1596672967
Kysyl-Syr,63.9,122.76,72.07,47,0,2.82,RU,1596672967
Kamaishi,39.27,141.88,75.2,88,75,1.12,JP,1596672586
Huarmey,-10.07,-78.15,60.33,84,1,8.5,PE,1596672635
Kirakira,-10.45,161.92,83.19,75,86,14.16,SB,1596672968
Ubari,26.59,12.78,84.13,15,0,4.61,LY,1596672588
Stalybridge,53.48,-2.06,64.99,83,98,6.87,GB,1596672968
Ivolginsk,51.75,107.28,64.4,82,40,11.18,RU,1596672968
Bonthe,7.53,-12.51,74.48,75,26,6.44,SL,1596672969
Makakilo City,21.35,-158.09,87.8,52,75,9.17,US,1596672970
Manokwari,-0.87,134.08,80.71,74,94,3.76,ID,1596672570
Bechem,7.09,-2.02,67.1,91,79,3.13,GH,1596672970
North Augusta,33.5,-81.97,75.2,88,75,10.29,US,1596672970
Departamento de Maldonado,-34.67,-54.92,66.2,72,2,4.7,UY,1596672866
Dakar,14.69,-17.44,82.4,83,75,9.17,SN,1596672555
Anadyr,64.75,177.48,51.8,76,75,8.95,RU,1596672502
Twin Falls,42.56,-114.46,98.6,29,40,5.82,US,1596672870
Erzin,36.96,36.2,80.01,87,35,2.44,TR,1596672526
Coquimbo,-29.95,-71.34,55.4,93,100,8.05,CL,1596672577
Weligama,5.97,80.42,77.45,88,86,7.18,LK,1596672972
Kuytun,54.34,101.5,57.65,94,100,3.49,RU,1596672972
Dali,25.7,100.18,66.2,80,79,0.87,CN,1596672973
Antalaha,-14.9,50.28,64.72,83,30,5.99,MG,1596672974
Kashan,33.98,51.44,78.94,27,0,9.44,IR,1596672974
Olinda,-8.01,-34.86,75.2,78,40,11.41,BR,1596672457
Mezen',65.85,44.24,55.85,92,90,13.49,RU,1596672974
Tarko-Sale,64.92,77.78,57.0,92,1,6.38,RU,1596672975
Majene,-3.54,118.97,78.13,84,81,11.32,ID,1596672975
Jāwā,31.85,35.94,71.6,49,0,6.13,JO,1596672975
Villa Bruzual,9.33,-69.12,74.73,93,81,1.59,VE,1596672976
Kaeo,-35.1,173.78,64.0,3,100,10.0,NZ,1596672976
Zelenoborsk,61.47,64.03,55.22,69,10,2.08,RU,1596672976
Ust'-Omchug,61.15,149.63,64.45,37,2,3.02,RU,1596672976
Ţahţā,26.77,31.5,86.0,33,0,6.93,EG,1596672977
Batticaloa,7.71,81.69,79.68,72,96,9.33,LK,1596672977
Kokorevka,52.59,34.28,60.51,81,65,1.12,RU,1596672978
Xuchang,34.02,113.82,75.2,100,90,2.24,CN,1596672978
Molchanovo,57.58,83.77,59.41,77,8,5.14,RU,1596672979
Wainwright,52.84,-110.86,79.92,55,0,7.83,CA,1596672891
Nikolayevsk-on-Amur,53.14,140.73,60.75,65,100,6.44,RU,1596672979
Peace River,56.25,-117.29,78.8,41,20,6.93,CA,1596672703
Gayny,60.31,54.32,53.51,82,1,2.44,RU,1596672980
Port Victoria,0.09,33.98,68.25,71,21,6.4,KE,1596672980
Kununurra,-15.77,128.73,75.2,29,100,4.7,AU,1596672484
Bouna,9.27,-3.0,69.87,77,69,5.82,CI,1596672963
Mitsamiouli,-11.38,43.28,76.05,68,1,3.18,KM,1596672981
Mandlā,22.6,80.38,74.98,95,100,0.11,IN,1596672981
Tongchuanshi,35.08,109.09,76.14,85,94,4.21,CN,1596672982
Mount Isa,-20.73,139.5,77.0,38,0,17.22,AU,1596672409
Villafranca di Verona,45.35,10.84,66.0,88,0,3.36,IT,1596672982
Yuzhno-Kurilsk,44.03,145.86,68.67,89,78,3.6,RU,1596672982
La Rioja,42.25,-2.5,66.2,59,0,5.26,ES,1596672720
Port Moresby,-9.44,147.18,78.8,88,75,3.36,PG,1596672983
Ambilobe,-13.2,49.05,63.54,84,48,4.29,MG,1596672983
Pogar,52.55,33.26,62.69,89,99,5.59,RU,1596672983
Omsukchan,62.53,155.8,59.72,43,30,5.12,RU,1596672983
Kushima,31.46,131.23,84.2,74,20,6.93,JP,1596672472
Annau,37.89,58.52,78.8,36,75,6.93,TM,1596672984
Baykit,61.67,96.37,65.44,64,87,3.67,RU,1596672984
Aromashevo,56.86,68.64,64.62,97,7,7.85,RU,1596672984
Kisiwani,-4.13,37.95,66.11,84,15,1.81,TZ,1596672985
Yangi Marg`ilon,40.43,71.72,77.0,41,0,9.17,UZ,1596672610
Manicoré,-5.81,-61.3,84.31,44,46,1.25,BR,1596672986
Puri,19.8,85.85,78.8,100,75,2.24,IN,1596672784
Safford,32.83,-109.71,100.4,16,1,9.17,US,1596672986
Verkhnevilyuysk,63.45,120.32,71.04,51,0,2.39,RU,1596672724
Huntington,38.42,-82.45,80.6,54,40,5.82,US,1596672986
Aden,12.78,45.04,88.38,60,100,19.08,YE,1596672953
Berbera,10.44,45.01,89.58,46,100,24.4,SO,1596672987
Beyneu,45.32,55.2,70.39,55,30,4.99,KZ,1596672987
Homer,59.64,-151.55,64.0,67,75,14.99,US,1596672987
Motomachi,43.82,144.1,68.0,88,75,2.24,JP,1596672988
Hof,50.32,11.92,57.0,67,0,1.01,DE,1596672988
San Quintín,30.48,-115.95,72.57,63,0,18.19,MX,1596672470
Sayyan,15.17,44.32,59.9,78,82,3.09,YE,1596672553
Kohat,33.58,71.45,84.2,70,20,11.41,PK,1596672989
